app_bundle;app_name;app_store_url;device_id;ua;uip;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000368b2-2310-4bce-8f51-326e2edfadd2;Roku%2FDVP-10.5+(10.5.0.4167-28);172.0.80.45;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000385d5-28f6-418c-a7e8-8e2bab2a527e;Roku%2FDVP-10.0+(10.0.0.4195-A9);68.42.39.87;;
com.xumo.syfy;XUMO: Free Streaming TV Shows and Movies;https%3A%2F%2Fchannelstore.roku.com%2Fdetails%2F0c039747df5e78fba4509a8de79fbeab;000388F0-0A71-4A3A-A146-BF45C7BC0BDD;Roku%2FDVP-9.40+(939.40E04206A);107.130.159.244;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00039afa-4759-408b-aaea-105f1c37648b;Roku%2FDVP-10.5+(10.5.0.4198-28);68.152.63.229;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0003dae0-ed8e-4017-9c9d-b4f4299cfb0a;Roku%2FDVP-11.0+(11.0.0.4184-C2);72.236.111.39;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0003e519-55d6-4298-903b-c4f4e37ce4c8;Roku%2FDVP-10.5+(10.5.0.4201-06);73.93.185.187;373.417;-1.219.753
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0003e8df-83ca-440a-b453-c5a997dd8694;Roku%2FDVP-10.5+(10.5.0.4210-63);98.179.154.72;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0003e95d-c6ad-4652-9028-b5366500cfbf;Roku%2FDVP-10.5+(10.5.0.4201-28);72.198.252.196;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00040630-1677-4861-b232-6cc0709bf353;Roku%2FDVP-11.0+(11.0.0.4193-AE);68.112.155.171;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004130a-d0ce-48b9-8e96-0620edc0c780;Roku%2FDVP-10.5+(10.5.0.4210-94);64.119.140.153;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00041cd5-5a56-4eab-b0b9-43d957ecb3fb;Roku%2FDVP-10.0+(10.0.0.4185-57);73.109.142.159;475.079;-1.221.773
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00042ace-0e5c-4dc7-b0dd-83ef38a0f315;Roku%2FDVP-11.0+(11.0.0.4184-AE);97.66.214.231;340.957;-86.578
com.roku.nbcsports;NBC Sports;https%3A%2F%2Fchannelstore.roku.com%2Fdetails%2Fcbe3bbebbf26577a4422f37f15daa4c8%2Fnbc-sports;00044130-7f91-421d-959a-b578dce2733b;Roku%2FDVP-10.5+(10.5.0.4201-91);162.254.8.143;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000442b8-dd5a-44ae-a13c-56be43a09c5e;Roku%2FDVP-11.0+(11.0.0.4195-06);50.243.11.5;405.084;-1.118.838
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00044a2c-2c6f-411e-9825-53bea3efdc74;Roku%2FDVP-10.0+(10.0.0.4185-59);174.76.217.158;412.671;-960.378
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;0004653f-32ee-42dd-bc8a-22b7a4828681;Roku%2FDVP-10.0+(10.0.0.4201-66);38.132.147.118;;
462780547;Watch TBS;https%3A%2F%2Fitunes.apple.com%2Fapp%2Fid462780547;00049a18-dffe-4ab9-94e6-0bb954357073;AppleCoreMedia%2F1.0.0.19J581+(Apple+TV%3B+U%3B+CPU+OS+15_1_1+like+Mac+OS+X%3B+en_us);24.103.95.245;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004a2db-60a8-47b7-a6d3-5ede10761fb9;Roku%2FDVP-10.0+(10.0.0.4201-20);76.35.144.184;380.052;-84.423
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004ad64-222c-40a3-bb5e-6a9d29e4ff56;Roku%2FDVP-10.0+(10.0.0.4197-CE);96.89.99.63;;
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;0004b811-a5a6-45df-a5f2-8058fb30a955;Roku%2FDVP-10.5+(10.5.1.4066-CU);73.213.145.53;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004c1ab-8011-42eb-822d-d0572ecc7d47;Roku%2FDVP-10.0+(10.0.0.4195-81);73.11.105.2;446.554;-123.135
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004c78e-d354-4322-99b4-f92a0ea8540a;Roku%2FDVP-10.5+(10.5.0.4210-AN);72.241.213.77;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0004d339-ed4f-4add-9ecc-12b77b71c269;Roku%2FDVP-10.5+(10.5.0.4201-24);173.196.238.48;337.046;-1.178.739
com.xumo.roku;xumo.roku;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F96065%2Fxumo-free-movies-and-tv;0004d906-08d9-43e2-881e-8c6f1cd3ca3a;Roku%2FDVP-10.0+(10.0.0.4208-50);73.38.52.237;444.537;-731.773
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00051a50-b82e-45b9-831f-04268f77432a;Roku%2FDVP-10.0+(10.0.0.4208-06);96.71.134.231;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00051f03-54d7-472d-9008-9d672904c72f;Roku%2FDVP-10.0+(10.0.0.4177-AT);68.41.118.211;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00052741-192b-4e8f-a585-884556e65231;Roku%2FDVP-10.0+(10.0.2.4200-AT);73.36.45.93;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00052a03-5feb-442a-be89-6134669a35cd;Roku%2FDVP-10.5+(10.5.0.4201-06);207.48.247.27;;
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;00055dda-4e5a-446c-ae4b-c9e4a095cf18;Roku%2FDVP-11.0+(11.0.0.4193-30);65.187.155.45;;
com.roku.nba;NBA;https%3A%2F%2Fchannelstore.roku.com%2Fen-ot%2Fdetails%2F46325b801441e098718739908eb6f51b%2Fnba;00057b0b-acdc-44b9-a53d-12d381bf56b3;Roku%2FDVP-10.0+(10.0.0.4197-93);108.167.78.190;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000580f1-9862-449f-82e1-d176612af86e;Roku%2FDVP-10.5+(10.5.0.4198-46);47.224.221.191;391.507;-1.197.459
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00059d82-3fdf-4878-9724-d2e158bea20a;Roku%2FDVP-10.0+(10.0.0.4185-28);206.51.203.179;468.524;-968.121
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0005e3bc-2f6c-4519-af4b-71d8bca9327f;Roku%2FDVP-10.0+(10.0.0.4209-51);66.86.114.197;37.751;-97.822
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0005ed36-e649-40c6-98b1-cb6a981142b0;Roku%2FDVP-11.0+(11.0.0.4184-29);66.149.121.57;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;0005ed92-ed90-46ab-9a77-0a0fca11d900;Roku%2FDVP-10.0+(10.0.0.4213-AX);69.30.189.130;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;000604b7-1d2f-400b-8cae-4c1f66827164;Roku%2FDVP-10.0+(10.0.0.4165-51);72.168.166.9;481.701;-1.171.449
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00061354-8cc5-4f4f-bff6-110b45be7b9a;Roku%2FDVP-10.0+(10.0.0.4197-C0);98.187.17.108;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00061ed0-ed27-4699-a42f-a335236c4014;Roku%2FDVP-10.0+(10.0.0.4195-61);73.129.252.105;;
com.pluto.tv;Pluto TV - It's Free TV;https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dtv.pluto.android;00062c48-bffd-41ae-9b4a-c6225f2fa05f;Mozilla%2F5.0+(Linux%3B+NetCast%3B+U)+AppleWebKit%2F537.31+(KHTML%2C+like+Gecko)+Chrome%2F34.0.1847.137+Safari%2F537.31+SmartTV%2F6.0;170.81.127.216;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00064A65-F60E-4670-1194-95DA468127FB;Roku%2FDVP-10.5+(10.5.0.4210-CH);24.93.131.186;;
com.roku.sundancetv;Sundance Now;https%3A%2F%2Fchannelstore.roku.com%2Fdetails%2F824fb03cdabf2d313ec472d7dec0f802%2Fsundance-now;0006550b-5ec0-4f9d-98b3-14c42f1f8e5c;Roku%2FDVP-10.0+(10.0.0.4209-04);73.252.73.65;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00066c65-a9d3-452d-a317-c7005efaaa3b;Roku%2FDVP-10.5+(10.5.0.4208-06);67.60.250.63;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00066ddd-d811-4c9d-b1e7-ae66ac9b11a3;Roku%2FDVP-10.0+(10.0.0.4201-67);47.4.196.136;;
com.roku-lifetime.app;Lifetime;https%3A%2F%2Fchannelstore.roku.com%2Fen-gb%2Fdetails%2F7ac9a68dac25246d92c17a02631beff2%2FLifetime;00067386-ddc3-49ad-b4e2-59d7658ec577;Roku%2FDVP-10.0+(10.0.0.4192-81);65.27.184.159;391.669;-846.664
